method,horizon,forecast_quarter,target_quarter,train_start,train_end,selected_variables
Post-threshold ridge,1,2011 Q3,2011 Q4,1991 Q3,2011 Q2,16
OCMT,1,2011 Q3,2011 Q4,1991 Q3,2011 Q2,2
BMT,1,2011 Q3,2011 Q4,1991 Q3,2011 Q2,1
AR,1,2011 Q4,2012 Q1,1991 Q4,2011 Q3,0
LASSO,1,2011 Q4,2012 Q1,1991 Q4,2011 Q3,0
Elastic net,1,2011 Q4,2012 Q1,1991 Q4,2011 Q3,0
Ridge,1,2011 Q4,2012 Q1,1991 Q4,2011 Q3,NA
Threshold ridge,1,2011 Q4,2012 Q1,1991 Q4,2011 Q3,18
Post-threshold ridge,1,2011 Q4,2012 Q1,1991 Q4,2011 Q3,18
OCMT,1,2011 Q4,2012 Q1,1991 Q4,2011 Q3,3
BMT,1,2011 Q4,2012 Q1,1991 Q4,2011 Q3,1
AR,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,0
LASSO,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,1
Elastic net,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,0
Ridge,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,NA
Threshold ridge,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,16
Post-threshold ridge,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,16
OCMT,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,3
BMT,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,1
AR,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,0
LASSO,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,1
Elastic net,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,1
Ridge,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,NA
Threshold ridge,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,16
Post-threshold ridge,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,16
OCMT,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,3
BMT,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,1
AR,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0
LASSO,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0
Elastic net,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0
Ridge,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,NA
Threshold ridge,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,17
Post-threshold ridge,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,17
OCMT,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,3
BMT,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,1
AR,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0
LASSO,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0
Elastic net,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0
Ridge,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,NA
Threshold ridge,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,15
Post-threshold ridge,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,15
OCMT,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,3
BMT,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,1
AR,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,0
LASSO,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,1
Elastic net,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,1
Ridge,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,NA
Threshold ridge,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,17
Post-threshold ridge,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,17
OCMT,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,3
BMT,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,1
AR,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0
LASSO,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0
Elastic net,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0
Ridge,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,NA
Threshold ridge,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,16
Post-threshold ridge,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,16
OCMT,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,3
BMT,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,1
AR,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0
LASSO,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0
Elastic net,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0
Ridge,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,NA
Threshold ridge,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,16
Post-threshold ridge,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,16
OCMT,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,3
BMT,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,1
AR,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,0
LASSO,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,1
Elastic net,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,0
Ridge,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,NA
Threshold ridge,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,16
Post-threshold ridge,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,16
OCMT,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,3
BMT,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,1
AR,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,0
LASSO,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,0
