method,horizon,forecast_quarter,target_quarter,train_start,train_end,actual,forecast,forecast_error,squared_error,absolute_error,selected_variables,lambda
LASSO,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0.9817259265515688,0.4069687542279763,0.5747571723235925,0.3303458071374118,0.5747571723235925,0,0.23028480691336534
Elastic net,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0.9817259265515688,0.4069687542279763,0.5747571723235925,0.3303458071374118,0.5747571723235925,0,0.46056961382673073
Ridge,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0.9817259265515688,0.5258889242219075,0.4558370023296613,0.20778737269289163,0.4558370023296613,NA,5.573187701637543
Threshold ridge,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0.9817259265515688,0.5607122291288417,0.4210136974227271,0.1772525334175556,0.4210136974227271,15,5.573187701637543
Post-threshold ridge,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0.9817259265515688,0.9941307956312061,-0.012404869079637337,1.5388077688294248e-4,0.012404869079637337,15,5.573187701637543
OCMT,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0.9817259265515688,0.8209907973977647,0.16073512915380406,0.02583578174409007,0.16073512915380406,3,NA
BMT,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0.9817259265515688,0.6029002426791918,0.3788256838723769,0.14350889876137404,0.3788256838723769,1,NA
AR,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,0.26727882651371715,0.7897138607589269,-0.5224350342452098,0.27293836500679347,0.5224350342452098,0,NA
LASSO,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,0.26727882651371715,0.7897138607589269,-0.5224350342452098,0.27293836500679347,0.5224350342452098,1,0.23335010876006554
Elastic net,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,0.26727882651371715,0.7897138607589269,-0.5224350342452098,0.27293836500679347,0.5224350342452098,1,0.4667002175201311
Ridge,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,0.26727882651371715,0.44308684238160506,-0.1758080158678879,0.03090845844340353,0.1758080158678879,NA,2.333501087600669
Threshold ridge,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,0.26727882651371715,0.48183352396757084,-0.2145546974538537,0.04603371819951469,0.2145546974538537,17,2.333501087600669
Post-threshold ridge,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,0.26727882651371715,-0.04987332107315658,0.3171521475868737,0.10058548471896613,0.3171521475868737,17,2.333501087600669
OCMT,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,0.26727882651371715,0.7876354173616393,-0.5203565908479222,0.2707709816388719,0.5203565908479222,3,NA
BMT,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,0.26727882651371715,0.8043584116540539,-0.5370795851403367,0.2884544807745162,0.5370795851403367,1,NA
AR,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0.8477896552497199,0.4800836632069644,0.36770599204275556,0.13520769658414702,0.36770599204275556,0,NA
LASSO,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0.8477896552497199,0.4800836632069644,0.36770599204275556,0.13520769658414702,0.36770599204275556,0,0.2317764117889912
Elastic net,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0.8477896552497199,0.4800836632069644,0.36770599204275556,0.13520769658414702,0.36770599204275556,0,0.4635528235779823
Ridge,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0.8477896552497199,0.6128922192940618,0.23489743595565815,0.05517680541854252,0.23489743595565815,NA,2.317764117889923
Threshold ridge,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0.8477896552497199,0.6689681406663986,0.1788215145833213,0.03197713407787299,0.1788215145833213,16,2.317764117889923
Post-threshold ridge,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0.8477896552497199,0.8305420675339235,0.017247587715796486,2.9747928201409384e-4,0.017247587715796486,16,2.317764117889923
OCMT,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0.8477896552497199,0.6555044251873868,0.1922852300623331,0.03697360970012437,0.1922852300623331,3,NA
BMT,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0.8477896552497199,0.4791283671629297,0.3686612880867902,0.13591114533381132,0.3686612880867902,1,NA
AR,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0.8679640238263175,0.7293240656373831,0.1386399581889345,0.019221038006629502,0.1386399581889345,0,NA
LASSO,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0.8679640238263175,0.7293240656373832,0.13863995818893438,0.01922103800662947,0.13863995818893438,0,0.23152313073927933
Elastic net,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0.8679640238263175,0.7293240656373832,0.13863995818893438,0.01922103800662947,0.13863995818893438,0,0.46304626147855865
Ridge,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0.8679640238263175,0.580156781966536,0.28780724185978157,0.08283300846693481,0.28780724185978157,NA,2.3152313073928052
Threshold ridge,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0.8679640238263175,0.7015764954485184,0.16638752837779913,0.02768480959967291,0.16638752837779913,16,2.3152313073928052
Post-threshold ridge,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0.8679640238263175,0.7264677431681973,0.14149628065812025,0.020021197440081535,0.14149628065812025,16,2.3152313073928052
OCMT,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0.8679640238263175,0.8780188726265961,-0.010054848800278515,1.010999843964623e-4,0.010054848800278515,3,NA
BMT,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0.8679640238263175,0.8396045474595288,0.028359476366788705,8.042598997984471e-4,0.028359476366788705,1,NA
AR,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,-0.34569281496601434,0.7308597424533227,-1.076552557419337,1.158965408886115,1.076552557419337,0,NA
LASSO,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,-0.34569281496601434,0.7308597424533229,-1.0765525574193373,1.1589654088861157,1.0765525574193373,1,0.23755653159523651
Elastic net,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,-0.34569281496601434,0.7308597424533229,-1.0765525574193373,1.1589654088861157,1.0765525574193373,0,0.4751130631904731
Ridge,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,-0.34569281496601434,0.5121315158810744,-0.8578243308470888,0.7358625825932555,0.8578243308470888,NA,2.3755653159523784
Threshold ridge,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,-0.34569281496601434,0.5984527934913848,-0.9441456084573991,0.8914109299693924,0.9441456084573991,16,2.3755653159523784
Post-threshold ridge,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,-0.34569281496601434,0.6036270370124929,-0.9493198519785072,0.9012081813604949,0.9493198519785072,16,2.3755653159523784
OCMT,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,-0.34569281496601434,0.5927756069506777,-0.938468421916692,0.8807229789348062,0.938468421916692,3,NA
BMT,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,-0.34569281496601434,0.6394752449969175,-0.9851680599629319,0.970556106371127,0.9851680599629319,1,NA
AR,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,1.283569022914932,0.21512370614864024,1.0684453167662917,1.1415753949198215,1.0684453167662917,0,NA
LASSO,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,1.283569022914932,0.21512370614864057,1.0684453167662913,1.1415753949198206,1.0684453167662913,0,0.2414432936270199
Elastic net,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,1.283569022914932,0.2151237061486406,1.0684453167662913,1.1415753949198206,1.0684453167662913,1,0.4828865872540397
Ridge,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,1.283569022914932,0.6617636881099569,0.621805334804975,0.3866418743919271,0.621805334804975,NA,2.4144329362702117
Threshold ridge,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,1.283569022914932,0.723550357647613,0.5600186652673189,0.31362090544778937,0.5600186652673189,18,2.4144329362702117
Post-threshold ridge,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,1.283569022914932,1.2542679123872549,0.029301110527677032,8.585550781551458e-4,0.029301110527677032,18,2.4144329362702117
OCMT,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,1.283569022914932,1.1954947973319063,0.08807422558302558,0.007757069212049677,0.08807422558302558,3,NA
BMT,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,1.283569022914932,0.7743945339276193,0.5091744889873127,0.259258660235491,0.5091744889873127,1,NA
AR,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,1.2080648325781596,0.8665801380616445,0.3414846945165151,0.11661179658903763,0.3414846945165151,0,NA
LASSO,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,1.2080648325781596,0.8665801380616447,0.34148469451651486,0.11661179658903748,0.34148469451651486,0,0.26624081456255866
Elastic net,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,1.2080648325781596,0.8399049926307398,0.36815983994741974,0.13554166775010973,0.36815983994741974,3,0.3670189322251631
Ridge,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,1.2080648325781596,0.6773195625020252,0.5307452700761344,0.2816905417081888,0.5307452700761344,NA,2.6624081456256
Threshold ridge,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,1.2080648325781596,0.6646252717076166,0.5434395608705429,0.2953265563191685,0.5434395608705429,17,2.6624081456256
Post-threshold ridge,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,1.2080648325781596,0.6220298196492976,0.586035012928862,0.3434370363785314,0.586035012928862,17,2.6624081456256
OCMT,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,1.2080648325781596,0.767749153227141,0.44031567935101856,0.193877897482349,0.44031567935101856,3,NA
BMT,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,1.2080648325781596,0.7302074103612295,0.47785742221693006,0.22834771596780937,0.47785742221693006,1,NA
AR,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,0.5044586015433339,0.8547804185543187,-0.35032181701098486,0.12272537547387796,0.35032181701098486,0,NA
LASSO,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,0.5044586015433339,0.7591374874525316,-0.25467888590919774,0.06486133492795015,0.25467888590919774,1,0.20894278400369765
Elastic net,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,0.5044586015433339,0.7301189614030047,-0.2256603598596708,0.05092259801199613,0.2256603598596708,3,0.34693594002854866
Ridge,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,0.5044586015433339,0.5715209884768259,-0.06706238693349198,0.0044973637412173955,0.06706238693349198,NA,2.63655890162044
Threshold ridge,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,0.5044586015433339,0.6229510583780283,-0.11849245683469445,0.014040462326721927,0.11849245683469445,17,2.63655890162044
Post-threshold ridge,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,0.5044586015433339,0.34572488128823714,0.15873372025509674,0.02519639394602331,0.15873372025509674,17,2.63655890162044
OCMT,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,0.5044586015433339,0.5085887939629943,-0.0041301924196603945,1.7058489423420186e-5,0.0041301924196603945,3,NA
BMT,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,0.5044586015433339,0.39377051164149146,0.11068808990184242,0.012251853246118351,0.11068808990184242,1,NA
AR,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,0.8964547876924911,0.5718802199837122,0.3245745677087789,0.1053486500033407,0.3245745677087789,0,NA
LASSO,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,0.8964547876924911,0.6247072025520565,0.2717475851404346,0.07384675002965777,0.2717475851404346,3,0.16589346778496675
Elastic net,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,0.8964547876924911,0.6102535685301388,0.2862012191623523,0.08191113785001682,0.2862012191623523,5,0.3317869355699335
Ridge,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,0.8964547876924911,0.4856202082704592,0.4108345794220319,0.16878505164887783,0.4108345794220319,NA,2.641493142816885
Threshold ridge,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,0.8964547876924911,0.6199490934799767,0.27650569421251436,0.0764553989319445,0.27650569421251436,18,2.641493142816885
Post-threshold ridge,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,0.8964547876924911,0.6257001605319388,0.2707546271605523,0.0733080681288497,0.2707546271605523,18,2.641493142816885
OCMT,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,0.8964547876924911,0.7275514462712,0.16890334142129104,0.02852833874327721,0.16890334142129104,4,NA
BMT,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,0.8964547876924911,0.8100475635572632,0.08640722413522794,0.0074662083827555185,0.08640722413522794,1,NA
AR,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,0.6174946582536478,0.7331347347123862,-0.11564007645873842,0.013372627283382867,0.11564007645873842,0,NA
LASSO,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,0.6174946582536478,0.4954932327890324,0.1220014254646154,0.014884347815398106,0.1220014254646154,6,0.14675193791769933
Elastic net,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,0.6174946582536478,0.5433945922166784,0.07410006603696939,0.005490819786683225,0.07410006603696939,7,0.28016367170294637
Ridge,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,0.6174946582536478,0.7571479584928794,-0.13965330023923161,0.01950304426770897,0.13965330023923161,NA,2.6866439045346278
