method,horizon,forecast_quarter,target_quarter,train_start,train_end,actual,forecast,forecast_error,squared_error,absolute_error,selected_variables,lambda
OCMT,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,-1.1413631359902254,-2.0372922386928973,0.8959291027026719,0.8026889570696149,0.8959291027026719,2,NA
BMT,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,-1.1413631359902254,-0.9586773187628266,-0.18268581722739885,0.03337410781604258,0.18268581722739885,1,NA
AR,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,-0.178810721762801,-0.2105740637132053,0.03176334195040431,0.0010089098918583143,0.03176334195040431,0,NA
LASSO,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,-0.178810721762801,-0.21057406371320508,0.03176334195040409,0.0010089098918583002,0.03176334195040409,0,0.19398533191908676
Elastic net,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,-0.178810721762801,-0.21057406371320508,0.03176334195040409,0.0010089098918583002,0.03176334195040409,0,0.38797066383817347
Ridge,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,-0.178810721762801,-1.5299699818715362,1.3511592601087352,1.8256313461775848,1.3511592601087352,NA,2.1289866230495935
Threshold ridge,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,-0.178810721762801,-0.21869974765642364,0.03988902589362264,0.0015911343867420977,0.03988902589362264,17,2.1289866230495935
Post-threshold ridge,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,-0.178810721762801,-2.2454672964418676,2.0666565746790666,4.2710693976642125,2.0666565746790666,17,2.1289866230495935
OCMT,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,-0.178810721762801,-0.9368674978936422,0.7580567761308412,0.5746500758378843,0.7580567761308412,2,NA
BMT,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,-0.178810721762801,-1.0944000656140422,0.9155893438512412,0.8383038465739465,0.9155893438512412,1,NA
AR,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,0.3505771547139602,0.2439452595686859,0.10663189514527432,0.011370361062272778,0.10663189514527432,0,NA
LASSO,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,0.3505771547139602,0.24394525956868607,0.10663189514527416,0.011370361062272743,0.10663189514527416,0,0.19074344997431616
Elastic net,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,0.3505771547139602,0.24394525956868604,0.10663189514527419,0.011370361062272748,0.10663189514527419,1,0.3814868999486323
Ridge,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,0.3505771547139602,-0.6494054264631773,0.9999825811771376,0.9999651626576905,0.9999825811771376,NA,2.2975116077523894
Threshold ridge,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,0.3505771547139602,0.20464241280121304,0.1459347419127472,0.021296948897140133,0.1459347419127472,17,2.2975116077523894
Post-threshold ridge,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,0.3505771547139602,-0.6372141002664955,0.9877912549804557,0.9757315634158636,0.9877912549804557,17,2.2975116077523894
OCMT,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,0.3505771547139602,-0.07556354814294702,0.42614070285690725,0.18159589863137893,0.42614070285690725,2,NA
BMT,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,0.3505771547139602,0.3057049548451448,0.04487219986881541,0.0020135143210669175,0.04487219986881541,1,NA
AR,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1.0751135379244658,0.49364071249699437,0.5814728254274715,0.3381106467106067,0.5814728254274715,0,NA
LASSO,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1.0751135379244658,0.49364071249699437,0.5814728254274715,0.3381106467106067,0.5814728254274715,0,0.1903672475025026
Elastic net,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1.0751135379244658,0.4936407124969943,0.5814728254274715,0.3381106467106067,0.5814728254274715,1,0.38073449500500506
Ridge,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1.0751135379244658,0.11612798887449154,0.9589855490499744,0.9196532832866807,0.9589855490499744,NA,3.031184926139414
Threshold ridge,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1.0751135379244658,0.4066395300556823,0.6684740078687835,0.4468574991961545,0.6684740078687835,18,3.031184926139414
Post-threshold ridge,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1.0751135379244658,-0.41969204936047194,1.4948055872849377,2.2344437437782676,1.4948055872849377,18,3.031184926139414
OCMT,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1.0751135379244658,0.8519242350182052,0.2231893029062606,0.04981346493178255,0.2231893029062606,1,NA
BMT,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1.0751135379244658,0.8519242350182052,0.2231893029062606,0.04981346493178255,0.2231893029062606,1,NA
AR,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,0.483331022067901,0.8433914047278321,-0.3600603826599311,0.12964347916121602,0.3600603826599311,0,NA
LASSO,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,0.483331022067901,0.843391404727832,-0.360060382659931,0.12964347916121594,0.360060382659931,1,0.18414080255049753
Elastic net,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,0.483331022067901,0.843391404727832,-0.360060382659931,0.12964347916121594,0.360060382659931,0,0.36828160510099517
Ridge,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,0.483331022067901,0.8228266496738643,-0.3394956276059633,0.11525728116356691,0.3394956276059633,NA,3.371136161935085
Threshold ridge,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,0.483331022067901,0.7848920155420188,-0.3015609934741178,0.09093903278509692,0.3015609934741178,16,3.371136161935085
Post-threshold ridge,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,0.483331022067901,1.1055567172342886,-0.6222256951663876,0.3871648157252943,0.6222256951663876,16,3.371136161935085
OCMT,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,0.483331022067901,0.8462601222363297,-0.3629291001684287,0.13171753174906536,0.3629291001684287,1,NA
BMT,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,0.483331022067901,0.8462601222363297,-0.3629291001684287,0.13171753174906536,0.3629291001684287,1,NA
AR,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0.9629349822608546,0.55602253860718,0.4069124436536746,0.16557773680020493,0.4069124436536746,0,NA
LASSO,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0.9629349822608546,0.5560225386071801,0.4069124436536745,0.16557773680020485,0.4069124436536745,0,0.1821179008311374
Elastic net,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0.9629349822608546,0.5560225386071801,0.4069124436536745,0.16557773680020485,0.4069124436536745,0,0.3642358016622749
Ridge,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0.9629349822608546,0.7014532430458689,0.26148173921498574,0.06837269994289381,0.26148173921498574,NA,3.659172967077911
Threshold ridge,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0.9629349822608546,0.7444333173023054,0.21850166495854917,0.04774297758965807,0.21850166495854917,19,3.659172967077911
Post-threshold ridge,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0.9629349822608546,1.2559532512317901,-0.2930182689709355,0.08585970595072352,0.2930182689709355,19,3.659172967077911
OCMT,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0.9629349822608546,0.8051333476339653,0.15780163462688934,0.02490135589091828,0.15780163462688934,1,NA
BMT,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0.9629349822608546,0.8051333476339653,0.15780163462688934,0.02490135589091828,0.15780163462688934,1,NA
AR,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0.7681272705003295,0.7925764935416106,-0.024449223041281165,5.977645073223138e-4,0.024449223041281165,0,NA
LASSO,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0.7681272705003295,0.7925764935416104,-0.024449223041280943,5.97764507322303e-4,0.024449223041280943,0,0.18380914639755225
Elastic net,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0.7681272705003295,0.7925764935416104,-0.024449223041280943,5.97764507322303e-4,0.024449223041280943,0,0.3676182927951045
Ridge,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0.7681272705003295,0.7783318562119463,-0.010204585711616865,1.0413356954573508e-4,0.010204585711616865,NA,3.212117035108939
Threshold ridge,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0.7681272705003295,0.82562919689969,-0.05750192639936058,0.0033064715396374815,0.05750192639936058,18,3.212117035108939
Post-threshold ridge,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0.7681272705003295,1.1954784837214314,-0.4273512132211019,0.18262905944154773,0.4273512132211019,18,3.212117035108939
OCMT,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0.7681272705003295,1.080976376633863,-0.31284910613353345,0.09787456320855088,0.31284910613353345,2,NA
BMT,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0.7681272705003295,0.7479780095448485,0.020149260955480974,4.0599271705207005e-4,0.020149260955480974,1,NA
AR,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,0.523736364445071,0.7054311543456171,-0.1816947899005461,0.03301299667700359,0.1816947899005461,0,NA
LASSO,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,0.523736364445071,0.7054311543456173,-0.18169478990054633,0.03301299667700367,0.18169478990054633,0,0.1844173182172027
Elastic net,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,0.523736364445071,0.7054311543456173,-0.18169478990054633,0.03301299667700367,0.18169478990054633,1,0.3688346364344052
Ridge,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,0.523736364445071,0.6621050390870625,-0.13836867464199154,0.019145890122181312,0.13836867464199154,NA,2.1203510169271986
Threshold ridge,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,0.523736364445071,0.5939276021146251,-0.07019123766955415,0.004926809845583838,0.07019123766955415,17,2.1203510169271986
Post-threshold ridge,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,0.523736364445071,0.10809818013672187,0.4156381843083491,0.17275510025514118,0.4156381843083491,17,2.1203510169271986
OCMT,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,0.523736364445071,0.757682546418413,-0.23394618197334205,0.05473081605990407,0.23394618197334205,2,NA
BMT,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,0.523736364445071,0.7518496623407062,-0.22811329789563517,0.052035676676822795,0.22811329789563517,1,NA
AR,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,-0.23748667360496967,0.6076206809275714,-0.845107354532541,0.7142064406849901,0.845107354532541,0,NA
LASSO,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,-0.23748667360496967,0.6076206809275714,-0.845107354532541,0.7142064406849901,0.845107354532541,1,0.19199296256890225
Elastic net,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,-0.23748667360496967,0.6076206809275714,-0.845107354532541,0.7142064406849901,0.845107354532541,0,0.3839859251378046
Ridge,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,-0.23748667360496967,0.5647834857471559,-0.8022701593521255,0.6436374085868849,0.8022701593521255,NA,1.9199296256890337
Threshold ridge,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,-0.23748667360496967,0.8016269803040056,-1.0391136539089754,1.0797571857400619,1.0391136539089754,17,1.9199296256890337
Post-threshold ridge,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,-0.23748667360496967,1.1882129855015127,-1.4256996591064823,2.03261951797634,1.4256996591064823,17,1.9199296256890337
OCMT,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,-0.23748667360496967,1.1875338392743766,-1.4250205128793463,2.030683462126915,1.4250205128793463,3,NA
BMT,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,-0.23748667360496967,0.9734341720336586,-1.2109208456386282,1.4663292944021704,1.2109208456386282,1,NA
AR,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,0.6743037468666557,0.27954074008711616,0.39476300677953957,0.1558378315216228,0.39476300677953957,0,NA
LASSO,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,0.6743037468666557,0.27954074008711594,0.3947630067795398,0.15583783152162298,0.3947630067795398,0,0.19484994687998014
Elastic net,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,0.6743037468666557,0.2795407400871159,0.39476300677953985,0.15583783152162303,0.39476300677953985,1,0.3896998937599601
Ridge,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,0.6743037468666557,0.2040530168651982,0.47025073000145756,0.22113574906690375,0.47025073000145756,NA,1.948499468799812
Threshold ridge,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,0.6743037468666557,0.7031362831073116,-0.02883253624065585,8.313151460687329e-4,0.02883253624065585,16,1.948499468799812
Post-threshold ridge,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,0.6743037468666557,1.0759693763127847,-0.40166562944612894,0.16133527787835497,0.40166562944612894,16,1.948499468799812
OCMT,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,0.6743037468666557,0.6456352978405794,0.028668449026076348,8.218799695607379e-4,0.028668449026076348,2,NA
BMT,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,0.6743037468666557,0.18955221347431345,0.4847515333923423,0.23498404912622714,0.4847515333923423,1,NA
AR,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,-0.0223152255784953,0.666927330657163,-0.6892425562356583,0.4750553013262646,0.6892425562356583,0,NA
LASSO,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,-0.0223152255784953,0.666927330657163,-0.6892425562356583,0.4750553013262646,0.6892425562356583,0,0.20038463407175286
Elastic net,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,-0.0223152255784953,0.666927330657163,-0.6892425562356583,0.4750553013262646,0.6892425562356583,0,0.4007692681435058
Ridge,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,-0.0223152255784953,0.7181671611134839,-0.7404823866919792,0.5483141650010498,0.7404823866919792,NA,2.0038463407175393
Threshold ridge,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,-0.0223152255784953,0.6989387927403823,-0.7212540183188776,0.5202073589411278,0.7212540183188776,15,2.0038463407175393
Post-threshold ridge,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,-0.0223152255784953,0.8412769285029065,-0.8635921540814018,0.7457914085909556,0.8635921540814018,15,2.0038463407175393
OCMT,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,-0.0223152255784953,0.7291130128845624,-0.7514282384630577,0.564644397559694,0.7514282384630577,3,NA
